Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
134,Bryan Cristante,it ITA,Cen,Roma,29-353,1995,17,14,1.162,12.9,1,0,1,1,0,0,5,0,0.9,0.9,0.3,1.2
135,Domen Črnigoj,si SVN,Cen,Venezia,29-093,1995,8,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
136,Juan Cuadrado,co COL,Dif.Cen,Atalanta,36-269,1988,13,3,494,5.5,0,2,2,0,0,0,1,0,0.7,0.7,1.2,1.8
137,Patrick Cutrone,it ITA,Att,Como,27-047,1998,24,19,1.644,18.3,6,3,9,6,0,1,1,0,5.4,4.7,1.8,6.5
138,Wylan Cyprien,fr FRA,Cen,Parma,30-022,1995,2,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
139,Danilo D'Ambrosio,it ITA,Dif,Monza,36-163,1988,15,7,677,7.5,0,0,0,0,0,0,2,1,0.3,0.3,0.2,0.5
140,Lucas Da Cunha,fr FRA,Cen,Como,23-255,2001,23,17,1.522,16.9,1,1,2,1,0,0,2,0,0.6,0.6,2.0,2.5
141,Samuel Dahl,se SWE,Dif.Cen,Roma,24-352,2000,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
142,Thijs Dallinga,nl NED,Att.Cen,Bologna,24-200,2000,20,4,522,5.8,2,0,2,2,0,0,1,0,2.9,2.9,0.4,3.3
143,Maat Daniel Caprini,it ITA,Att,Fiorentina,19-008,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
144,Flavius Daniliuc,at AUT,Dif,Hellas Verona,23-298,2001,16,8,904,10.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2
145,Danilo,br BRA,Dif,Juventus,33-219,1991,12,6,581,6.5,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5
146,Matteo Darmian,it ITA,Dif,Inter,35-079,1989,20,13,1.160,12.9,2,2,4,2,0,0,2,0,1.2,1.2,1.1,2.4
147,Juan David Cabal,co COL,Dif,Juventus,24-042,2001,7,6,460,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2
148,Keinan Davis,eng ENG,Att,Udinese,27-006,1998,14,6,688,7.6,2,1,3,2,0,0,2,0,1.5,1.5,2.0,3.5
149,Paweł Dawidowicz,pl POL,Dif,Hellas Verona,29-275,1995,16,14,1.060,11.8,0,0,0,0,0,0,5,1,0.2,0.2,0.0,0.2
150,Charles De Ketelaere,be BEL,Cen.Att,Atalanta,23-346,2001,24,19,1.515,16.8,5,5,10,5,0,0,1,0,4.0,4.0,5.2,9.2
Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
151,Mattia De Sciglio,it ITA,Dif,Empoli,32-122,1992,12,5,607,6.7,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.7
152,Lorenzo De Silvestri,it ITA,Dif,Bologna,36-272,1988,13,9,685,7.6,1,0,1,1,0,0,1,0,0.5,0.5,0.3,0.8
